,texto,polaridad
145,"Con críticas internas, Alberto Fernández termina de definir el reemplazo de Marcela Losardo Ser autoexigente: los peligros del ""querer es poder""",Neutral
146,"Ser autoexigente: los peligros del ""querer es poder"" Durante años se representó en las imágenes, al pelo de las mujeres de una sola forma: largo, lacio y rubio. Esto llevó a que cada vez que veíamos a una mujer salirse de la norma teniendo el pelo corto, con rulos, o de algún color, nos llame la atención.",Neutral
147,Mitos derribados sobre el pelo Cómo es el búnker que salvará al mundo en caso de la llegada del Apocalipsis.,Neutral
148,"Cómo es el búnker que salvará al mundo en caso de la llegada del Apocalipsis El sorprendente ""rincón de los colibríes"" en pleno centro de Bogotá",Neutral
149,"El sorprendente ""rincón de los colibríes"" en pleno centro de Bogotá Beijing, apocalíptico: el extraño paisaje con el que amaneció la capital de China",Neutral
150,"Beijing, apocalíptico: el extraño paisaje con el que amaneció la capital de China Una mujer fue al hospital por una lesión en su tobillo y descubrió que nació como hombre y es intersexual",Neutral
151,"Una mujer fue al hospital por una lesión en su tobillo y descubrió que nació como hombre y es int... ¿Sos un ""paciente acordeón""?: 20 claves para identificar una dieta destinada al fracaso",Neutral
152,"¿Sos un ""paciente acordeón""?: 20 claves para identificar una dieta destinada al fracaso 'Tu pelo, tu elección'... A partir de esa afirmación, Dove muestra las historias de mujeres que, a pesar de aquellos mandamientos con los que nos lavaron la cabeza, se aceptaron tal cual son.",Neutral
153,Historias de mujeres que rompieron con los prejuicios de la sociedad La escalera del Santo Sepulcro que nadie puede mover desde hace 300 años.,Neutral
154,"La escalera del Santo Sepulcro que nadie puede mover desde hace 300 años La vacuna de AstraZeneca no tiene relación con trombos, aseguran los responsable de Oxford",Neutral
155,"La vacuna de AstraZeneca no tiene relación con trombos, aseguran los responsable de Oxford Remates online de inmuebles en pesos: qué hay que saber para participar",Neutral
156,Remates online de inmuebles en pesos: qué hay que saber para participar Cómo fueron los últimos días de Hipólito Yrigoyen,Neutral
157,Cómo fueron los últimos días de Hipólito Yrigoyen Impuestos: la larga lista de cambios que elevan la presión fiscal en el mandato de Alberto Fernández.,Neutral
158,"Impuestos: la larga lista de cambios que elevan la presión fiscal en el mandato de Alberto Fernández Braghieri: ""Mi familia recibió amenazas""",Neutral
159,"Braghieri: ""Mi familia recibió amenazas"" Durante años, nos dijeron cuál era nuestro lugar en la sociedad, qué estudiar, cómo vernos y vestirnos. Ahora las mujeres decimos basta.",Neutral
160,"Nos lavaron la cabeza con los mandatos de feminidad Pata Villanueva fue trasladada a Buenos Aires en un avión sanitario y ""evoluciona de manera favorable"".",Neutral
161,"Pata Villanueva fue trasladada a Buenos Aires en un avión sanitario y 'evoluciona de manera favor... Horóscopo de hoy, lunes 15 de marzo: las predicciones para la salud, el amor y el dinero",Neutral
162,"Horóscopo de hoy, lunes 15 de marzo: las predicciones para la salud, el amor y el dinero Horóscopo Escorpio de hoy, 15 de marzo de 2021: las predicciones para la salud, el amor y el dinero",Neutral
163,"Horóscopo Escorpio de hoy, 15 de marzo de 2021: las predicciones para la salud, el amor y el dinero Un candidato presidencial peruano dice estar 'enamorado de la virgen María'.",Neutral
164,"Un candidato presidencial peruano se flagela desde hace 40 años y dice estar 'enamorado de la vir... Mark Hoffman, un falsificador entre mormones: un entretenido retrato de un ""artista"" de la estafa",Neutral
165,"Mark Hoffman, un falsificador entre mormones: un entretenido retrato de un ""artista"" de la estafa Apuñaló más de 100 veces a su madre y la decapitó.",Neutral
166,Hija caníbal: apuñaló más de 100 veces a su madre y la decapitó Sergio Lapegüe habló a tres días de su vuelta al televisión,Neutral
167,Sergio Lapegüe habló a tres días de su vuelta al televisión Comienza la eLibertadores: el torneo de FIFA 21 que entrega 100 mil dólares en premios,Neutral
168,Comienza la eLibertadores: el torneo de FIFA 21 que entrega 100 mil dólares en premios La colombiana que se enamoró y se casó con un guerrero masái en Kenia,Neutral
169,La colombiana que se enamoró y se casó con un guerrero masái en Kenia El candidato a presidente de Perú que está enamorado de la Virgen María,Neutral
170,El candidato a presidente de Perú que está enamorado de la Virgen María Covid-19: reinfectados y asintomáticos comparten una misma respuesta inmune del organismo,Neutral
171,"Covid-19: reinfectados y asintomáticos comparten una misma respuesta inmune del organismo ""SE CAYÓ LA LUZ""",Neutral
172,"'Se cayó la luz', el susto del nene que perdió a su papá atropellado por un chico de 14 años La contaminación vuelve a los niveles previos a la pandemia",Neutral
173,"La contaminación vuelve a los niveles previos a la pandemia Desde Juntos por el Cambio denunciaron a Horacio Pietragalla por las embarazadas escondidas en el monte de Formosa. Más: http://clar.in/3bM5xGs VIDEO: Falcon y el Soldado del Invierno, de Marvel, tiene nuevo trailer",Neutral
174,"Falcon y el Soldado del Invierno, de Marvel, tiene nuevo trailer INCREÍBLE 😳",Neutral
175,"Transformaron un bus de dos pisos en una increíble casa con bañadera, chimenea y todos los lujos Burbujas escolares: ver y escuchar, los nuevos problemas de la distancia entre alumnos y maestros dentro de las aulas",Neutral
